"tconst","ordering","nconst","category","job","characters","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"tt4876930","9","nm2335154","actress","","[""Leanne Randall""]","Sara Vickers","1985","","actress","tt2481198"
"tt4876930","10","nm0641984","actress","","[""Bella""]","Colette O'Neil","1935","2021","actress,archive_footage","tt3045616,tt0399955,tt0203248,tt0498965"
"tt4880426","1","nm0378112","actor","","[""DI Jimmy Perez""]","Douglas Henshall","1965","","actor,producer,archive_footage","tt2396135,tt0808096,tt1235124,tt0112365"
"tt4880426","2","nm0334150","actress","","[""Rhona Kelly""]","Julie Graham","","","actress,writer,producer","tt0862620,tt2691732,tt2396135,tt0339907"
"tt4880426","3","nm1385922","actor","","[""Gunman""]","Bryan Larkin","","","actor,writer,director","tt2906216,tt14518692,tt3300542,tt2306299"
"tt4880426","4","nm2630117","actress","","[""DS Alison 'Tosh' McIntosh""]","Alison O'Donnell","","","actress","tt0837563,tt2396135,tt0184122,tt0768188"
"tt4880426","5","nm0397760","actor","","[""Sgt Billy McCabe""]","Lewis Howden","","","actor","tt2396135,tt0168446,tt2315628,tt1250890"
"tt4880426","6","nm1017414","actor","","[""DC Sandy Wilson""]","Steven Robertson","1980","","actor","tt0320661,tt3247714,tt0424205,tt0414055"
"tt4880426","7","nm0001354","actor","","[""Michael Maguire""]","Ciarán Hinds","1953","","actor,soundtrack,archive_footage","tt12789558,tt1596365,tt1340800,tt2294629"
"tt4880426","8","nm0232733","actress","","[""Grace""]","Kate Donnelly","","","actress,writer,director","tt0117951,tt7565012,tt12153354,tt0097232"
"tt4880426","9","nm0641984","actress","","[""Bella""]","Colette O'Neil","1935","2021","actress,archive_footage","tt3045616,tt0399955,tt0203248,tt0498965"
"tt4880426","10","nm5806210","actor","","[""Craig Cooper""]","Jack Greenlees","","","actor","tt2527336,tt6679794,tt6068620,tt3149010"
"tt4880428","1","nm2335154","actress","","[""Leanne Randall""]","Sara Vickers","1985","","actress","tt2481198"
"tt4880428","2","nm1017414","actor","","[""DC Sandy Wilson""]","Steven Robertson","1980","","actor","tt0320661,tt3247714,tt0424205,tt0414055"
"tt4880428","3","nm0378112","actor","","[""DI Jimmy Perez""]","Douglas Henshall","1965","","actor,producer,archive_footage","tt2396135,tt0808096,tt1235124,tt0112365"
"tt4880428","4","nm2630117","actress","","[""DS Alison 'Tosh' McIntosh""]","Alison O'Donnell","","","actress","tt0837563,tt2396135,tt0184122,tt0768188"
"tt4880428","5","nm0397760","actor","","[""Sgt Billy McCabe""]","Lewis Howden","","","actor","tt2396135,tt0168446,tt2315628,tt1250890"
"tt4880428","6","nm0716293","actress","","[""Freya Galdie""]","Saskia Reeves","1961","","actress,soundtrack,archive_footage","tt1474684,tt1715336,tt0142032,tt0216621"
"tt4880428","7","nm0001354","actor","","[""Michael Maguire""]","Ciarán Hinds","1953","","actor,soundtrack,archive_footage","tt12789558,tt1596365,tt1340800,tt2294629"
"tt4880428","8","nm0821471","actor","","[""Eric the Boatman""]","John Stahl","1953","2022","actor","tt0944947,tt2328900,tt5816682,tt0163499"
"tt4880428","9","nm0334150","actress","","[""Rhona Kelly""]","Julie Graham","","","actress,writer,producer","tt0862620,tt2691732,tt2396135,tt0339907"
"tt4880428","10","nm4505912","actor","","[""Ben Brennan""]","Edward Corrie","","","actor","tt6538566,tt1748888,tt2058133,tt2396135"
"tt4885302","1","nm0641984","actress","","[""Bella""]","Colette O'Neil","1935","2021","actress,archive_footage","tt3045616,tt0399955,tt0203248,tt0498965"
"tt4885302","2","nm0232733","actress","","[""Grace""]","Kate Donnelly","","","actress,writer,director","tt0117951,tt7565012,tt12153354,tt0097232"
"tt4885302","3","nm0734654","actor","","[""Alec""]","Struan Rodger","1946","","actor,writer,archive_footage","tt0486655,tt1788391,tt0082158,tt0109831"
"tt4885302","4","nm0378112","actor","","[""DI Jimmy Perez""]","Douglas Henshall","1965","","actor,producer,archive_footage","tt2396135,tt0808096,tt1235124,tt0112365"
"tt4885302","5","nm7898739","actor","","[""Sheep Farmer""]","Keith Williamson","","","actor","tt2396135"
"tt4885302","6","nm2335154","actress","","[""Leanne Randall""]","Sara Vickers","1985","","actress","tt2481198"
"tt4885302","7","nm0334150","actress","","[""Rhona Kelly""]","Julie Graham","","","actress,writer,producer","tt0862620,tt2691732,tt2396135,tt0339907"
"tt4885302","8","nm1017414","actor","","[""DC Sandy Wilson""]","Steven Robertson","1980","","actor","tt0320661,tt3247714,tt0424205,tt0414055"
"tt4885302","9","nm0397760","actor","","[""Sgt Billy McCabe""]","Lewis Howden","","","actor","tt2396135,tt0168446,tt2315628,tt1250890"
"tt4885302","10","nm2630117","actress","","[""DS Alison 'Tosh' McIntosh""]","Alison O'Donnell","","","actress","tt0837563,tt2396135,tt0184122,tt0768188"
"tt4885306","1","nm2630117","actress","","[""DS Alison 'Tosh' McIntosh""]","Alison O'Donnell","","","actress","tt0837563,tt2396135,tt0184122,tt0768188"
"tt4885306","2","nm0378112","actor","","[""DI Jimmy Perez""]","Douglas Henshall","1965","","actor,producer,archive_footage","tt2396135,tt0808096,tt1235124,tt0112365"
"tt4885306","3","nm0185143","actor","","[""Tommy Monro""]","Mark Cox","","","actor,writer,archive_footage","tt0281491,tt13304748,tt7932920,tt1024155"
"tt4885306","4","nm1830400","actress","","[""Police Officer""]","Beth Marshall","","","actress","tt13592494,tt31718597,tt5149528,tt14466294"
"tt4885306","5","nm0750196","actress","","[""Crisis Worker""]","Gaylie Runciman","","","actress","tt0194350,tt0266731,tt2396135,tt0142054"
"tt4885306","6","nm1733465","actress","","[""Forensic Nurse""]","Carole Anders","","","actress,archive_footage","tt3006802,tt0807742,tt1748888,tt3181614"
"tt4885306","7","nm1017414","actor","","[""DC Sandy Wilson""]","Steven Robertson","1980","","actor","tt0320661,tt3247714,tt0424205,tt0414055"
"tt4885306","8","nm0397760","actor","","[""Sgt Billy McCabe""]","Lewis Howden","","","actor","tt2396135,tt0168446,tt2315628,tt1250890"
"tt4885306","9","nm3262824","actor","","[""DS Iain Boyd""]","Kevin Mains","","","actor,writer,soundtrack","tt6679794,tt3568088,tt4769214,tt2396135"
"tt4885306","10","nm0334150","actress","","[""Rhona Kelly""]","Julie Graham","","","actress,writer,producer","tt0862620,tt2691732,tt2396135,tt0339907"
"tt4901402","1","nm6916563","actress","","[""Grace Fitzgerald""]","Rosemary Boyle","","","actress,soundtrack","tt0088512,tt8270592,tt2215842,tt32410995"
"tt4901402","2","nm2469730","actor","","[""Sid Carter""]","Alex Price","","","actor,archive_footage","tt1986953,tt4520906,tt0436992,tt4938084"
"tt4901402","3","nm0089438","actor","","[""Martin Cartwright""]","Sean Blowers","1961","","actor,producer","tt0113071,tt0944947,tt0123355,tt0095537"
"tt4901402","4","nm0140943","actress","","[""Lady Felicia""]","Nancy Carroll","1974","","actress,soundtrack,archive_footage","tt14728056,tt2215842,tt4786824,tt15122138"
"tt4901402","5","nm0931247","actor","","[""Father Brown""]","Mark Williams","1959","","actor,writer,visual_effects","tt0330373,tt0115433,tt0138097,tt0417741"
"tt4901402","6","nm0193663","actress","","[""Mrs McCarthy""]","Sorcha Cusack","1949","","actress,soundtrack,archive_footage","tt0208092,tt2215842,tt0053494,tt0207892"
"tt4901402","7","nm0212675","actor","","[""Inspector Mallory""]","Jack Deam","1972","","actor","tt0103473,tt0478942,tt0053494,tt2215842"
"tt4901402","8","nm1019307","actor","","[""Sergeant Goodfellow""]","John Burton","1967","","actor,soundtrack","tt2215842,tt0053494,tt0169438,tt0083392"
"tt4901402","9","nm2061101","actor","","[""Harry Fitzgerald""]","Tristan Beint","1980","","actor,miscellaneous,assistant_director","tt0436992,tt6345080,tt30787627,tt2733252"
"tt4901402","10","nm6896937","actor","","[""Owen Brunt""]","John Hogg","","","actor","tt2306299,tt0053494,tt1207648,tt2215842"
"tt5002648","1","nm0206043","actor","","[""John Green""]","Robert Daws","1959","","actor,music_department,soundtrack","tt0108891,tt3636060,tt6532374,tt5770788"
"tt5002648","2","nm0206043","actor","","[""Marcus Knight""]","Robert Daws","1959","","actor,music_department,soundtrack","tt0108891,tt3636060,tt6532374,tt5770788"
"tt5002648","3","nm2907225","actress","","[""DS Florence Cassell""]","Joséphine Jobert","1985","","actress","tt7854356,tt1178181,tt11324982,tt1328968"
"tt5002648","4","nm0550994","actor","","[""DI Humphrey Goodman""]","Kris Marshall","1973","","actor,producer,archive_footage","tt0314331,tt0795368,tt0379889,tt0240510"
"tt5002648","5","nm0186048","actress","","[""Mary Goodman""]","Wendy Craig","1934","","actress,writer,soundtrack","tt0059496,tt0057490,tt0081838,tt0061283"
