"tconst","ordering","nconst","category","job","characters","primaryName","birthYear","deathYear","primaryProfession","knownForTitles","castType"
"tt0611656","766","nm0293550","actor","","[""Frank Harrison""]","Paul Freeman","1943","","acting","","guest"
"tt0611656","767","nm0669274","actress","","[""Debbie Repp""]","Helen Pearson","1959","","acting","","guest"
"tt0611656","768","nm0817228","actor","","[""Chas - Pub Landlord""]","Colin Spaull","1944","","acting","","guest"
"tt0611656","769","nm1668300","actor","","[""Simon Harrison""]","Simon Hepworth","","","acting","","guest"
"tt0611656","773","nm0571435","actor","","[""Professor Sir Lionel Phelps""]","T. P. McKenna","1929","2011","acting","","guest"
"tt10234920","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt10234920","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt10234920","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt10234920","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt1127845","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt1127845","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt1127845","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt1127845","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt3476_00_09","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt3476_00_09","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt3476_00_09","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt3476_00_09","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611652","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611652","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611652","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611652","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611652","515","nm0606999","actor","","[""Constable Dixon""]","Adam Morris","","","acting","","guest"
"tt0611652","542","nm0391080","actor","","[""David""]","Rupert Holliday-Evans","1964","","acting","","guest"
"tt0611652","570","nm0491190","actor","","[""Tony Richards""]","James Laurenson","1940","2024","acting","","guest"
"tt0611652","597","nm0593209","actress","","[""Mrs Staveley""]","Charlotte Mitchell","1926","2012","acting","","guest"
"tt0611652","610","nm0428949","actor","","[""Chief Inspector Bell""]","Norman Jones","1932","2013","acting","","guest"
"tt0611652","619","nm0916894","actor","","[""Colin""]","Gary Webster","1964","","acting","","guest"
"tt0611652","663","nm0873743","actor","","[""George Jackson""]","Patrick Troughton","1920","1987","acting","","guest"
"tt0611652","690","nm0428121","actress","","[""Anne Staveley""]","Gemma Jones","1942","","acting","","guest"
"tt0611652","700","nm0190928","actor","","[""Pharmacist""]","Richard Cubison","","","acting","","guest"
"tt0611652","705","nm0267256","actress","","[""Hospital Doctor""]","Souad Faress","1948","","acting","","guest"
"tt0611659","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611659","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611659","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611659","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611659","513","nm0283409","actress","","[""Monica Height""]","Barbara Flynn","1948","","acting","","guest"
"tt0611659","531","nm0336607","actress","","[""Mrs Bartlett""]","Elspet Gray","1929","2013","acting","","guest"
"tt0611659","557","nm0842578","actor","","[""Dr Bartlett""]","Clive Swift","1936","2019","acting","","guest"
"tt0611659","596","nm0001284","actor","","[""Philip Ogleby""]","Michael Gough","1916","2011","acting","","guest"
"tt0611659","634","nm0516181","actor","","[""Donald Martin""]","Roger Lloyd Pack","1944","2014","acting","","guest"
"tt0611659","750","nm0872370","actor","","[""Dean of Lonsdale College""]","Frederick Treves","1925","2012","acting","","guest"
"tt0611649","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611649","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611649","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611649","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611649","514","nm0132607","actress","","[""Mrs. Rawlinson""]","Judy Campbell","1916","2004","acting","","guest"
"tt0611649","541","nm0394588","actor","","[""Doctor Starkie""]","Michael Hordern","1911","1995","acting","","guest"
"tt0611649","569","nm0635712","actor","","[""Lionel Pawlen""]","John Normington","1937","2007","acting","","guest"
"tt0611649","610","nm0428949","actor","","[""Chief Inspector Bell""]","Norman Jones","1932","2013","acting","","guest"
"tt0611649","632","nm0640129","actor","","[""Harry Josephs""]","Maurice O'Connell","1941","","acting","","guest"
"tt0611649","647","nm0932273","actor","","[""Denman""]","Bev Willis","","","acting","","guest"
"tt0611649","713","nt1788856","actor","","[""Peter Morris""]","Andrew Read","","","acting","","guest"
"tt0611649","714","nm0571160","actress","","[""Girl in Betting Shop""]","Gina McKee","1964","","acting","","guest"
"tt0611663","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611663","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611663","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611663","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611663","540","nm0634994","actress","","[""Laura Poindexter""]","Christine Norden","","","acting","","guest"
"tt0611663","568","nm0186469","actor","","[""Cedric Downes""]","Kenneth Cranham","1944","","acting","","guest"
"tt0611663","594","nm0789889","actress","","[""Janet Roscoe""]","Mildred Shay","1911","2005","acting","","guest"
"tt0611663","628","nm0442542","actress","","[""Lucy Downes""]","Christine Kavanagh","1957","","acting","","guest"
"tt0611663","734","nm0034013","actor","","[""Eddie Poindexter""]","Robert Arden","1922","2004","acting","","guest"
"tt0611663","751","nm0001003","actor","","[""Theodore Kemp""]","Simon Callow","1949","","acting","","guest"
"tt0611645","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611645","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611645","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611645","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611645","500","nm0768018","actress","","[""Rachel""]","Julia Sawalha","1968","","acting","","guest"
"tt0611645","528","nm0568493","actor","","[""Donald Phillipson""]","Peter McEnery","1940","","acting","","guest"
"tt0611645","555","nm0866626","actress","","[""Grace Craven""]","Frances Tomelty","1948","","acting","","guest"
"tt0611645","583","nm0000167","actress","","[""Julia""]","Elizabeth Hurley","1965","","acting","","guest"
"tt0611645","608","nm0107857","actor","","[""David Acum""]","Philip Bretherton","1955","","acting","","guest"
"tt0611645","627","nm0396830","actor","","[""George Craven""]","Glyn Houston","1925","2019","acting","","guest"
"tt0611645","679","nm0057312","actress","","[""Mrs. Webb""]","Venetia Barrett","1928","2016","acting","","guest"
"tt0611658","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611658","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611658","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611658","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611658","502","nm0288621","actor","","[""Kurt Friedman""]","Derek Fowlds","1937","2020","acting","","guest"
"tt0611658","530","nm0123511","actress","","[""Mirella Lunghi""]","Amanda Burton","1956","","acting","","guest"
"tt0611658","567","nm0129492","actress","","[""Jane Robson""]","Anna Calder-Marshall","1947","","acting","","guest"
"tt0611658","595","nm0827137","actor","","[""Sir Wilfred Mulryne""]","Robert Stephens","1931","1995","acting","","guest"
"tt0611658","633","nm0485894","actor","","[""Chief Superintendent Dewar""]","Robert Lang","1934","2004","acting","","guest"
"tt0611644","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611644","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611644","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611644","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611644","501","nm0272129","actor","","[""Jimmy""]","Perry Fenwick","1962","","acting","","guest"
"tt0611644","529","nm0920771","actress","","[""Typist""]","Amanda Wenban","","","acting","","guest"
"tt0611644","556","nm0088067","actor","","[""Time and Motion Expert""]","Ian Bleasdale","1950","","acting","","guest"
"tt0611644","584","nm0236902","actress","","[""Mrs. Jarman""]","Fabia Drake","1904","1990","acting","","guest"
"tt0611644","609","nm0826273","actress","","[""Mrs. Kane""]","Shirley Stelfox","1941","2015","acting","","guest"
"tt0611644","654","nm0014773","actress","","[""Angie Hartman""]","Holly Aird","1969","","acting","","guest"
"tt0611644","671","nm0419603","actress","","[""Sylvia Kane""]","Jenny Jay","","","acting","","guest"
"tt0611644","685","nm0362202","actor","","[""Clive Palmer""]","Terrence Hardiman","1937","2023","acting","","guest"
"tt0611644","696","nm0048575","actress","","[""Jennifer Coleby""]","Jill Baker","1952","","acting","","guest"
"tt0611641","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611641","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611641","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611641","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611641","7","nm0385163","actress","","[""Dr. Grayling Russell""]","Amanda Hillwood","1957","","acting","","regular"
"tt0611641","511","nm0408550","actress","","[""Laboratory Assistant""]","Seeta Indrani","1963","","acting","","guest"
"tt0611641","538","nm0804218","actress","","[""Girl Pupil""]","Claire Skinner","1964","","acting","","guest"
"tt0611641","565","nm0388092","actress","","[""Lady Hanbury""]","Patricia Hodge","1946","","acting","","guest"
"tt0611641","592","nm0126268","actress","","[""Mrs. Maltby""]","Patsy Byrne","1933","2014","acting","","guest"
"tt0611641","617","nm0741317","actor","","[""Dr. Charles Hudson""]","Clifford Rose","1929","2021","acting","","guest"
"tt0611641","631","nm0255426","actor","","[""Roger Meadows""]","John Elmes","","","acting","","guest"
"tt0611641","661","nm0077888","actor","","[""Detective""]","Michael Bertenshaw","1945","","acting","","guest"
"tt0611641","677","nm0146038","actor","","[""The Dean""]","John Cater","1932","2009","acting","","guest"
"tt0611655","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611655","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611655","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611655","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611655","7","nm0385163","actress","","[""Dr. Grayling Russell""]","Amanda Hillwood","1957","","acting","","regular"
"tt0611655","512","nm0263253","actor","","[""Dr. David Kerridge""]","Tenniel Evans","1926","2009","acting","","guest"
"tt0611655","539","nm0458378","actor","","[""German Man""]","Gertan Klauber","1932","2008","acting","","guest"
"tt0611655","566","nm0249622","actress","","[""Deborah Burns""]","Beatie Edney","1962","","acting","","guest"
"tt0611655","593","nm0017739","actor","","[""Arthur Drysdale""]","Michael Aldridge","1920","1994","acting","","guest"
"tt0611655","618","nm0755548","actress","","[""Sabena""]","Laura Sadler","1980","2003","acting","","guest"
"tt0611655","662","nm0663161","actor","","[""Ben""]","Bert Parnaby","1924","1992","acting","","guest"
"tt0611655","678","nm0859525","actress","","[""Carol Sharp""]","Sian Thomas","1953","","acting","","guest"
"tt0611655","715","nm0425370","actress","","[""Mrs. Burns""]","Jill Johnson","","","acting","","guest"
"tt0611638","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611638","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611638","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611638","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611638","7","nm0385163","actress","","[""Dr. Grayling Russell""]","Amanda Hillwood","1957","","acting","","regular"
"tt0611638","518","nm0557292","actor","","[""Anthony Donn""]","Daniel Massey","1933","1998","acting","","guest"
"tt0611638","543","nm0378237","actor","","[""Vince Cranston""]","Nicky Henson","1945","2019","acting","","guest"
"tt0611638","571","nm0601891","actor","","[""Radio Producer""]","Stephen Moore","1937","2019","acting","","guest"
"tt0611638","598","nm0025267","actor","","[""DC Hilaire""]","Peter Amory","1964","","acting","","guest"
"tt0611638","620","nm0697799","actor","","[""Barker""]","Bryan Pringle","1935","2002","acting","","guest"
"tt0611638","635","nm0736178","actor","","[""Roland Marshall""]","Norman Rodway","1929","2001","acting","","guest"
"tt0611638","649","nm0172081","actor","","[""Cassidy""]","Charles Collingwood","1943","","acting","","guest"
"tt0611638","681","nm0662511","actor","","[""Jamie Jasper""]","Nathaniel Parker","1962","","acting","","guest"
"tt0611638","692","nm0066644","actor","","[""Peter Foster""]","Geoffrey Beevers","1941","","acting","","guest"
"tt0611657","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611657","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611657","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611657","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611657","7","nm0385163","actress","","[""Dr. Grayling Russell""]","Amanda Hillwood","1957","","acting","","regular"
"tt0611657","517","nm0410272","actor","","[""George Henderson""]","George Irving","1954","","acting","","guest"
"tt0611657","545","nm0731175","actor","","[""Mr. Waugh""]","Ivor Roberts","1925","1999","acting","","guest"
"tt0611657","572","nm0047392","actress","","[""Fran Pierce""]","Marion Bailey","1951","","acting","","guest"
"tt0611657","752","nm0928408","actor","","[""Edward Manley""]","Andrew Wilde","","","acting","","guest"
"tt0611657","753","nm0552774","actress","","[""Rosemary Henderson""]","Mel Martin","1947","","acting","","guest"
"tt0611654","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611654","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611654","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611654","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611654","519","nm0500317","actress","","[""Blanche Copley-Barnes""]","Barbara Leigh-Hunt","1935","2024","acting","","guest"
"tt0611654","546","nm0182688","actor","","[""Ron Garrett""]","George Costigan","","","acting","","guest"
"tt0611654","574","nm0132293","actress","","[""Sylvie Maxton""]","Cheryl Campbell","1949","","acting","","guest"
"tt0611654","599","nm0929489","actor","","[""Jake Normington""]","Tom Wilkinson","1948","2023","acting","","guest"
"tt0611654","621","nm0658244","actor","","[""Matthew Copley-Barnes""]","Geoffrey Palmer","1927","2020","acting","","guest"
"tt0611654","650","nm0041112","actor","","[""Parsons""]","Michael Attwell","1943","2006","acting","","guest"
"tt0611654","665","nm0370410","actor","","[""Chief Superintendent Rennie""]","Denys Hawthorne","1932","2009","acting","","guest"
"tt0611654","682","nm0623597","actor","","[""Dr. Julian Dear""]","David Neal","1932","2000","acting","","guest"
"tt0611654","754","nm0703522","actor","","[""Mick McGovern""]","Pearce Quigley","","","acting","","guest"
"tt0611660","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611660","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611660","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611660","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611660","520","nm0366027","actress","","[""Thelma Radford""]","Lisa Harrow","1943","","acting","","guest"
"tt0611660","547","nm0550429","actress","","[""Cynthia Preece""]","Betty Marsden","1919","1998","acting","","guest"
"tt0611660","575","nm0421105","actor","","[""Victor Preece""]","Alex Jennings","1957","","acting","","guest"
"tt0611660","589","nm0712738","actor","","[""Alfred Rydale""]","Andrew Ray","1939","2003","acting","","guest"
"tt0611660","600","nm0791221","actor","","[""Stephen Radford""]","Paul Shelley","1942","","acting","","guest"
"tt0611660","622","nm0420383","actor","","[""Charles Radford""]","Lionel Jeffries","1926","2010","acting","","guest"
"tt0611660","651","nm0425904","actor","","[""Butler""]","Noel Johnson","1916","1999","acting","","guest"
"tt0611660","666","nm0083392","actor","","[""George Linacre""]","John Bird","1936","2022","acting","","guest"
"tt0611660","693","nm0014713","actress","","[""Cleaning Lady""]","Jean Ainslie","1920","2001","acting","","guest"
"tt0611660","744","nt2523413","actor","","[""Pathologist""]","Paul Mooney","","","acting","","guest"
"tt0611660","755","nm0861037","actress","","[""Helen Radford""]","Kim Thomson","1959","","acting","","guest"
"tt0611660","770","nm0212794","actress","","[""Isobel Radford""]","Isabel Dean","1918","1997","acting","","guest"
"tt0611660","771","nm0102991","actor","","[""Trevor Radford""]","Andy Bradford","1944","","acting","","guest"
"tt0611639","0","nm0857177","actor","","[""Chief Inspector Morse""]","John Thaw","1942","2002","acting","","regular"
"tt0611639","1","nm0923610","actor","","[""Detective Sergeant Lewis""]","Kevin Whately","1951","","acting","","regular"
"tt0611639","2","nm0940885","actor","","[""Dr. Max DeBryn""]","Peter Woodthorpe","1931","2004","acting","","regular"
"tt0611639","3","nm0343942","actor","","[""Chief Superintendent Strange""]","James Grout","1927","2012","acting","","regular"
"tt0611639","521","nt162489","actor","","[""Jimmy""]","Jake Wood","1972","","acting","","guest"
"tt0611639","548","nm0039185","actor","","[""Detective""]","Al Hunter Ashton","1957","2007","acting","","guest"
"tt0611639","576","nm0538869","actor","","[""Jeremy Boynton""]","Patrick Malahide","1945","","acting","","guest"
"tt0611639","601","nm0519554","actor","","[""Detective""]","David Lonsdale","1963","","acting","","guest"
"tt0611639","636","nm0752379","actor","","[""Derek Whittaker""]","David Ryall","1935","2014","acting","","guest"
"tt0611639","756","nm0950987","actor","","[""George""]","Tariq Yunus","1946","1994","acting","","guest"
"tt0611639","757","nt1236888","actor","","[""Angie Howe""]","Tessa Wojtczak","","","acting","","guest"
